duplicate_group_id,duplicate_status_repaired,duplicate_match_level,duplicate_keep,listing_id,source,source_listing_id,url,city,neighborhood_clean,surface_m2,price_mad,bedrooms,bathrooms,title_raw,source_record_path
confirmed-aa3e6e841ba6,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:af93714e612da1aff64b1536,mubawab.ma,,,Rabat,Agdal,120.0,3200000.0,3.0,2.0,Splendide appartement meublé sans vis à vis,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-bd092f8509d6,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8095549,mubawab.ma,8095549.0,https://www.mubawab.ma/fr/a/8095549/appartement-neuf-84-m%C2%B2-%C3%A0-gu%C3%A9liz,Marrakech,Guéliz,84.0,1570000.0,2.0,2.0,Appartement Neuf 84 m² à Guéliz,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-bd092f8509d6,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:0a966d07b83c984c43c0e131,mubawab.ma,,,Marrakech,Guéliz,84.0,1570000.0,2.0,2.0,Appartement Neuf 84 m² à Guéliz,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-c0f6949f8e5a,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8123737,mubawab.ma,8123737.0,https://www.mubawab.ma/fr/a/8123737/appartement-situ%C3%A9-dans-une-r%C3%A9sidence-ferm%C3%A9e,El Jadida,Sidi Moussa,64.0,550000.0,2.0,1.0,Appartement situé dans une résidence fermée,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-c0f6949f8e5a,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:72052d3e74d4abac92e594be,mubawab.ma,,,El Jadida,Sidi Moussa,64.0,550000.0,2.0,1.0,Appartement situé dans une résidence fermée,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-c1f5d0a76f94,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8260591,mubawab.ma,8260591.0,https://www.mubawab.ma/fr/a/8260591/vente-appartement-en-exclusivit%C3%A9-%C3%A0-rabat-hay-riad-prestigia,Rabat,Riyad,116.0,4370000.0,2.0,2.0,Vente Appartement en Exclusivité à Rabat Hay Riad Prestigia,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-c1f5d0a76f94,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:8b8d8a48962bc607614acc2a,mubawab.ma,,,Rabat,Riyad,116.0,4370000.0,2.0,2.0,Vente Appartement en Exclusivité à Rabat Hay Riad Prestigia,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-c57de8d7200e,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8165939,mubawab.ma,8165939.0,https://www.mubawab.ma/fr/a/8165939/vente-appartement-de-prestige-%C3%A0-malabata-hills,Tanger,Malabata,102.0,2040000.0,3.0,2.0,Vente appartement de prestige à Malabata Hills,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-c57de8d7200e,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:b11031e1b03c861a0439e46e,mubawab.ma,,,Tanger,Malabata,102.0,2040000.0,3.0,2.0,Vente appartement de prestige à Malabata Hills,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-cb2d952f7a07,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8326704,mubawab.ma,8326704.0,https://www.mubawab.ma/fr/a/8326704/appartement-neuf-%C3%A0-gu%C3%A9liz,Marrakech,Samlalia,84.0,1550000.0,2.0,2.0,Appartement Neuf à Guéliz,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-cb2d952f7a07,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:5ed00b5f48a77d5f61ab1585,mubawab.ma,,,Marrakech,Samlalia,84.0,1550000.0,2.0,2.0,Appartement Neuf à Guéliz,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-d16d5b0ff7c1,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8196582,mubawab.ma,8196582.0,https://www.mubawab.ma/fr/a/8196582/appartements-avec-vue-sur-mer,Agadir,Haut Anza,59.0,940000.0,2.0,1.0,Appartements avec vue sur mer,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-d16d5b0ff7c1,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:ce13179a2c511c601d64266f,mubawab.ma,,,Agadir,Haut Anza,59.0,940000.0,2.0,1.0,Appartements avec vue sur mer,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-d84362ef8b7b,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8143686,mubawab.ma,8143686.0,https://www.mubawab.ma/fr/a/8143686/vente-appartement-rabat-hay-riad,Rabat,Riyad,218.0,3700000.0,4.0,3.0,Vente Appartement Rabat Hay Riad,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
