listing_id,outlier_decision,outlier_reasons,batch_id,property_type_repaired,city,surface_m2,price_mad,price_per_m2,bedrooms,bathrooms,title_raw,price_raw,url
mubawab.ma:native:8342416,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,104.0,12936000.0,124384.62,3.0,2.0,,,https://www.mubawab.ma/fr/a/8342416/appartement-%C3%A0-2-mars
mubawab.ma:native:8343672,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,El Jadida,155.0,16660000.0,107483.87,2.0,2.0,,,https://www.mubawab.ma/fr/a/8343672/appartement-2-chambres-%C3%A0-autre-secteur-el-jadida
mubawab.ma:native:8344410,uncertain,price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Agadir,74.0,4780000.0,64594.59,2.0,2.0,,,https://www.mubawab.ma/fr/a/8344410/appartement-%E2%80%93-hay-al-farah-agadir
mubawab.ma:native:8346040,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,108.0,11100000.0,102777.78,3.0,2.0,,,https://www.mubawab.ma/fr/a/8346040/appartement-%C3%A0-l-achat-%C3%A0-mers-sultan-surface-de-108-m%C2%B2-meubl%C3%A9
mubawab.ma:native:8346754,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,60.0,6450000.0,107500.0,2.0,1.0,,,https://www.mubawab.ma/fr/a/8346754/appartement-%C3%A0-vendre-60m2-%C3%A0-casa-sidi-moumen
mubawab.ma:native:8346772,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,71.0,10530000.0,148309.86,2.0,1.0,,,https://www.mubawab.ma/fr/a/8346772/vente-d-un-bel-appartement-%C3%A0-sidi-moumen-1-pi%C3%A8ce-cuisine-enti%C3%A8rement-%C3%A9quip%C3%A9e
mubawab.ma:native:8348103,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,90.0,12980000.0,144222.22,2.0,2.0,,,https://www.mubawab.ma/fr/a/8348103/appartement-en-vente-%C3%A0-belv%C3%A9d%C3%A8re-2-belles-chambres
mubawab.ma:native:8348350,uncertain,price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Agadir,58.0,2800000.0,48275.86,3.0,1.0,,,https://www.mubawab.ma/fr/a/8348350/appartement-%C3%A0-vendre
mubawab.ma:native:8348726,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Berrechid,90.0,8480000.0,94222.22,3.0,1.0,,,https://www.mubawab.ma/fr/a/8348726/appartement-%C3%A0-vendre-%C3%A0-berrechid-3-grandes-pi%C3%A8ces-salon-traditionnel
mubawab.ma:native:8349337,uncertain,price_above_p99|price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Bouskoura,307.0,15550000.0,50651.47,3.0,3.0,,,https://www.mubawab.ma/fr/a/8349337/appartement-rez-de-jardin-%C3%A0-bouskoura-ville-verte
