listing_id,repair_exclusion_reason,duplicate_group_id,outlier_decision,outlier_reasons,source_record_path,city,property_type_repaired,surface_m2,price_mad,price_per_m2,title_raw,price_raw,url
mubawab.ma:native:8245876,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Agadir,appartement,56.0,6600000.0,117857.14,,,https://www.mubawab.ma/fr/a/8245876/appartement-neuf-agadir
mubawab.ma:native:8247539,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,86.0,8790000.0,102209.3,,,https://www.mubawab.ma/fr/a/8247539/appartement-%C3%A0-abouab-al-oulfa
mubawab.ma:native:8249068,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,96.0,9860000.0,102708.33,,,https://www.mubawab.ma/fr/a/8249068/appartement-%C3%A0-hay-el-qods-casablanca
mubawab.ma:native:8249298,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,87.0,8950000.0,102873.56,,,https://www.mubawab.ma/fr/a/8249298/appartement-%C3%A0-vendre-ain-chock-qods
mubawab.ma:native:8249378,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,54.0,6450000.0,119444.44,,,https://www.mubawab.ma/fr/a/8249378/appartement-%C3%A0-l-achat-%C3%A0-hay-lmkansa-1-chambre-salon-marocain-traditionnel
mubawab.ma:native:8252816,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,95.0,7820000.0,82315.79,,,https://www.mubawab.ma/fr/a/8252816/appartement-sidi-othmane
mubawab.ma:native:8253285,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Larache,appartement,96.0,10600000.0,110416.67,,,https://www.mubawab.ma/fr/a/8253285/bel-appartement-%C3%A0-vendre-%C3%A0-larache-3-pi%C3%A8ces-confortables-syst%C3%A8me-de-parabole-et-salon-marocain
mubawab.ma:native:8254431,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,55.0,5330000.0,96909.09,,,https://www.mubawab.ma/fr/a/8254431/appartement-%C3%A0-vendre-riad-oulfa
mubawab.ma:native:8255495,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,61.0,8400000.0,137704.92,,,https://www.mubawab.ma/fr/a/8255495/bel-appartement-%C3%A0-vendre-dar-essalam-oulfa
mubawab.ma:native:8255639,probable_parsing_error,,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Bouskoura,appartement,94.0,11980000.0,127446.81,,,https://www.mubawab.ma/fr/a/8255639/appartement-neuf-victoria-bouskoura
