listing_id,source,source_listing_id,city,neighborhood,region,latitude,longitude,surface_m2,bedrooms,bathrooms,furnished_status,parking,balcony,sea_view,price_mad,price_per_m2,property_type,transaction_type,publication_date,publication_date_status,scraped_at,url,validation_status,validation_reasons,deduplication_status,duplicate_of,title_raw,price_raw,location_raw,details_raw,source_record_path
mubawab.ma:content:28dfcf05659cfdcf2a2144a3,mubawab.ma,,Béni Mellal,Béni Mellal,Béni Mellal-Khénifra,,,66.0,2.0,1.0,unknown,unknown,unknown,unknown,440000.0,6666.67,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Bel appartement à vendre à Béni Mellal. 2 chambres. Concie...,440 000 DH,"Béni Mellal, Béni Mellal",66 m² 2 Pièces 2 Chambres 1 Salle de bain,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:native:8009858,mubawab.ma,8009858,Marrakech,Guéliz,Marrakech-Safi,,,101.0,3.0,2.0,unknown,yes,yes,unknown,1750000.0,17326.73,appartement,sale,,unknown,Wed Sep 02 2026 17:32:23 GMT+0100 (UTC+01:00),https://www.mubawab.ma/fr/a/8009858/app-3ch-avec-piscine-gu%C3%A9liz,valid,,unique,,,,,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv
mubawab.ma:native:8306790,mubawab.ma,8306790,Casablanca,Bourgogne Est,Casablanca-Settat,,,87.0,2.0,2.0,unknown,yes,unknown,unknown,1200000.0,13793.1,appartement,sale,,unknown,Wed Sep 02 2026 07:01:09 GMT+0100 (UTC+01:00),https://www.mubawab.ma/fr/a/8306790/appartement-%C3%A0-vendre-87-m%C2%B2-2-chambres-bourgogne-est-casablanca,valid,,unique,,,,,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv
mubawab.ma:content:4ce93d377af138cdfc6eb499,mubawab.ma,,Casablanca,Anassi,Casablanca-Settat,,,64.0,2.0,1.0,unknown,unknown,unknown,unknown,380000.0,5937.5,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Vend appartement à Anassi. Surface totale 64 m²,380 000 DH,"Anassi, Casablanca",64 m² 1 Pièce 2 Chambres 1 Salle de bain,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:6270f63d157fdf9cdfbf14af,mubawab.ma,,Casablanca,Californie,Casablanca-Settat,,,107.0,2.0,2.0,unknown,unknown,unknown,unknown,1550000.0,14485.98,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,"Appartement à vendre 107 m², 2 chambres Californie Casablanc...",1 550 000 DH,"Californie, Casablanca",107 m² 2 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:52ca3f09df00bcab6aeeecd9,mubawab.ma,,Casablanca,Burger,Casablanca-Settat,,,168.0,3.0,1.0,unknown,unknown,unknown,unknown,1600000.0,9523.81,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,"Appartement à vendre 168 m², 3 chambres Burger Casablanca",1 600 000 DH,"Burger, Casablanca",168 m² 3 Chambres 1 Salle de bain,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:3096203abbd370c614db53be,mubawab.ma,,Casablanca,Bourgogne Est,Casablanca-Settat,,,131.0,2.0,3.0,unknown,unknown,unknown,unknown,1660000.0,12671.76,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,"Appartement à Vendre de 131.0 m² à Casablanca, Bourgogne Sid...",1 660 000 DH,"Bourgogne Est, Casablanca",131 m² 4 Pièces 2 Chambres 3 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:4726109aedbdfbd234ffaa2e,mubawab.ma,,Casablanca,Val Fleury,Casablanca-Settat,,,99.0,2.0,2.0,unknown,unknown,unknown,unknown,1670000.0,16868.69,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Bel appartement lumineux de 99m² avec double façade,1 670 000 DH,"Val Fleury, Casablanca",99 m² 3 Pièces 2 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:native:8356009,mubawab.ma,8356009,Casablanca,Belvédère,Casablanca-Settat,,,134.0,3.0,1.0,furnished,unknown,yes,unknown,2200000.0,16417.91,appartement,sale,,unknown,Wed Sep 02 2026 08:55:57 GMT+0100 (UTC+01:00),https://www.mubawab.ma/fr/a/8356009/appartement-%C3%A0-vendre-134-m%C2%B2-3-chambres-belv%C3%A9d%C3%A8re-casablanca,valid,,unique,,,,,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv
mubawab.ma:content:f558fe710a7538936a5a2664,mubawab.ma,,Khouribga,Khouribga,Béni Mellal-Khénifra,,,111.0,3.0,2.0,unknown,unknown,unknown,unknown,750000.0,6756.76,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Appartement à vendre à Khouribga. Superficie 111 m². Avec as...,750 000 DH,"Khouribga, Khouribga",111 m² 3 Pièces 3 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
